X	Y	Type	Color
0.0698824	-0.131539	blue	#3399FF
0.0278492	-0.0268127	red	#FF0000
-0.0306092	0.153994	green	#008000
-0.233136	-0.324724	green	#008000
0.00359433	0.00197567	green	#008000
0.0694867	-0.217773	green	#008000
0.0366871	-0.067486	red	#FF0000
0.506887	0.572833	red	#FF0000
0.670815	0.680435	red	#FF0000
0.923635	-0.397832	red	#FF0000
0.0335267	-0.0844076	green	#008000
-0.0146837	0.00944336	blue	#3399FF
-6.12642	4.57031	red	#FF0000
-0.0801376	0.994679	green	#008000
0.0219589	0.0819857	red	#FF0000
0.176864	-0.00288298	green	#008000
-0.932996	-0.35304	red	#FF0000
0.13851	-0.133509	green	#008000
-0.0985033	-0.354018	red	#FF0000
-0.0463957	0.0127011	red	#FF0000
0.200792	0.12193	red	#FF0000
-0.107605	-0.323165	green	#008000
0.0450451	-0.0668902	red	#FF0000
0.0896401	-0.994594	red	#FF0000
0.699205	0.313	green	#008000
6.21877	2.16618	green	#008000
-0.0360351	0.167008	green	#008000
-0.244736	-0.591387	green	#008000
0.00940257	0.00835635	green	#008000
0.15273	-0.00530298	green	#008000
-0.0811106	0.0507025	red	#FF0000
-0.0422257	0.994694	red	#FF0000
0.313308	-0.0991926	red	#FF0000
-1.52333	-3.74386	red	#FF0000
0.0489932	-0.00560466	green	#008000
0.154631	-0.10056	green	#008000
-0.176454	-0.0610658	red	#FF0000
-0.0965438	-0.491622	red	#FF0000
0.82561	0.194906	blue	#3399FF
-0.115839	0.0765236	red	#FF0000
-5.69096	4.96377	green	#008000
-0.0442626	-0.0620523	red	#FF0000
0.0609343	-0.175393	green	#008000
0.00688363	0.00820688	green	#008000
-0.029962	-0.0455499	green	#008000
-1.946	-5.84059	red	#FF0000
0.0508064	-0.155211	green	#008000
0.108147	-0.124267	green	#008000
0.415804	0.222157	green	#008000
0.0368173	-0.0595245	red	#FF0000
0.148719	-0.157417	blue	#3399FF
-0.0269125	-0.00475235	red	#FF0000
0.211669	0.137077	red	#FF0000
0.00660576	0.0296083	red	#FF0000
-0.046611	0.0630659	red	#FF0000
0.0459087	0.26831	red	#FF0000
0.238205	0.067252	red	#FF0000
0.0540335	0.123762	red	#FF0000
0.0293374	0.0242665	red	#FF0000
0.571946	-0.447076	green	#008000
-0.0768442	0.99677	red	#FF0000
0.0893661	-0.163715	green	#008000
-0.355349	-0.53977	red	#FF0000
0.35685	-0.325445	blue	#3399FF
-0.126504	-0.00780869	red	#FF0000
-0.00611255	0.01782	red	#FF0000
1.43539	0.575001	red	#FF0000
0.0786627	-0.0588821	green	#008000
0.223684	-0.974422	red	#FF0000
2.76105	-4.82026	red	#FF0000
0.384327	-0.387008	red	#FF0000
-14.1792	-2.02422	red	#FF0000
0.533753	-0.205545	green	#008000
-0.00854657	-0.184617	red	#FF0000
0.0320071	-0.0851659	red	#FF0000
0.0897056	-0.164938	red	#FF0000
0.0151625	0.00801903	green	#008000
-0.0309409	0.0670309	red	#FF0000
-0.0449642	0.0676203	green	#008000
0.0202954	0.0856947	red	#FF0000
0.251856	0.696804	red	#FF0000
3.40217	-3.20464	green	#008000
0.0459732	0.0115348	green	#008000
0.196461	0.0386492	green	#008000
0.023793	0.0104217	red	#FF0000
0.496521	-0.441614	red	#FF0000
-0.00578516	-0.022978	red	#FF0000
0.0149692	0.0184421	green	#008000
0.0226052	-0.0797891	red	#FF0000
-0.166324	0.0841034	red	#FF0000
0.0843738	0.842148	red	#FF0000
0.118376	-0.0485829	red	#FF0000
0.114075	0.0241963	red	#FF0000
0.225685	-0.0694566	red	#FF0000
0.0886891	0.173714	red	#FF0000
0.978282	-0.185449	red	#FF0000
-0.0912964	0.157874	red	#FF0000
-0.0174415	-0.00752239	red	#FF0000
0.0237527	-0.0050572	red	#FF0000
-0.00135709	-0.0750821	blue	#3399FF
-0.0443098	-0.0247609	red	#FF0000
-0.0167449	-0.0969136	red	#FF0000
7.12394	-8.92261	red	#FF0000
0.160833	-0.365704	green	#008000
0.157331	0.00561375	blue	#3399FF
-0.153324	-0.740859	green	#008000
-0.102768	0.15874	red	#FF0000
-0.252153	-0.963209	green	#008000
-0.182748	-0.909365	red	#FF0000
-0.0135845	-0.40876	red	#FF0000
-0.014481	0.0463175	red	#FF0000
0.37014	-0.472074	red	#FF0000
-0.00762537	0.388865	green	#008000
0.0616762	-0.0312987	red	#FF0000
-0.544079	-0.186074	red	#FF0000
8.66918	2.67348	green	#008000
0.0911992	0.0484792	red	#FF0000
0.133237	0.120951	red	#FF0000
0.0819438	0.0440847	red	#FF0000
-1.85938	-0.702356	red	#FF0000
-0.183777	-0.0542716	green	#008000
0.118201	-0.137514	green	#008000
-4.9976	-2.20333	green	#008000
-0.398431	-0.00187182	green	#008000
-0.185011	6.37729	red	#FF0000
-0.230678	0.549055	red	#FF0000
-0.11701	-0.0506518	red	#FF0000
-0.0775276	-0.0172305	red	#FF0000
-0.0202135	0.0957273	red	#FF0000
-16.4326	2.51335	green	#008000
0.127867	-0.0602087	blue	#3399FF
-0.439332	0.0266113	green	#008000
-0.0233513	0.165441	green	#008000
-0.125419	-0.130505	red	#FF0000
0.349286	-1.71844	red	#FF0000
0.452089	0.0806817	green	#008000
0.0257724	-0.0527066	red	#FF0000
0.00687173	0.119422	red	#FF0000
-0.194188	-0.691738	red	#FF0000
0.14775	-0.0881385	red	#FF0000
0.0513441	0.09611	red	#FF0000
-0.00043106	0.0151594	red	#FF0000
-0.0292266	0.0193717	red	#FF0000
0.064515	0.00401336	red	#FF0000
-0.231974	-0.246344	red	#FF0000
0.0304993	0.0106697	blue	#3399FF
-0.288354	-0.0573302	red	#FF0000
-1.58132	-0.683449	green	#008000
-0.0198515	-0.136299	green	#008000
0.00727919	-0.000855348	green	#008000
0.273789	-0.220603	red	#FF0000
0.0853087	-0.0503368	red	#FF0000
-0.144389	-0.0556828	green	#008000
-0.00589927	-0.0930317	red	#FF0000
0.0109243	-0.0358442	red	#FF0000
0.373793	0.692331	red	#FF0000
-0.0143538	0.0672747	green	#008000
-0.102266	-0.0117286	green	#008000
-0.120203	-0.472455	red	#FF0000
0.73066	-0.014573	red	#FF0000
-0.000751732	0.097397	green	#008000
0.0296733	0.0788643	red	#FF0000
0.220553	-0.0534083	red	#FF0000
0.995662	0.450071	red	#FF0000
-0.0307443	-0.191245	red	#FF0000
-0.469774	0.171812	red	#FF0000
-0.0868896	-0.580186	red	#FF0000
-0.33324	0.902165	green	#008000
-0.165593	-0.286857	green	#008000
0.606975	0.676997	blue	#3399FF
0.262288	-0.0264943	red	#FF0000
-0.408566	0.0349085	green	#008000
-0.103222	-0.0414071	green	#008000
0.0374878	-0.180356	green	#008000
-0.0513488	-0.135565	red	#FF0000
-0.04107	0.129013	red	#FF0000
-0.0174154	-0.159761	red	#FF0000
-0.0230997	2.43619e-05	red	#FF0000
0.13605	-0.131692	blue	#3399FF
-0.0541554	0.00815553	red	#FF0000
0.267832	0.340514	red	#FF0000
0.267135	0.818204	green	#008000
0.366051	-0.391199	red	#FF0000
0.684964	0.295186	red	#FF0000
8.95688	8.77707	red	#FF0000
-0.0286932	0.0082526	red	#FF0000
-0.021406	0.0156706	red	#FF0000
-0.0714313	0.0260471	red	#FF0000
0.973426	0.0504427	green	#008000
0.0984577	-0.180206	red	#FF0000
0.0838253	-0.536187	green	#008000
0.326303	0.729766	green	#008000
0.653302	1.04813	green	#008000
0.324178	0.0590095	red	#FF0000
0.163706	-0.208377	red	#FF0000
-0.691188	1.35094	red	#FF0000
-0.036475	0.0623821	red	#FF0000
-2.90608	-16.5918	red	#FF0000
0.479688	0.154707	red	#FF0000
0.643697	2.16557	red	#FF0000
0.558558	-0.821932	green	#008000
-0.0483265	0.0493875	green	#008000
0.041663	0.0098862	green	#008000
-1.08452	1.10663	green	#008000
-0.0332063	-0.00827404	red	#FF0000
0.856445	-0.474185	blue	#3399FF
-0.175629	0.0459859	red	#FF0000
0.0186364	-0.90186	green	#008000
0.305585	0.00216813	red	#FF0000
-0.0883184	-0.130527	red	#FF0000
-0.0829026	0.527303	red	#FF0000
-0.13322	-0.0743111	green	#008000
0.262023	-0.0155939	red	#FF0000
0.0141007	0.0199901	red	#FF0000
0.393504	0.0278897	red	#FF0000
