X	Y
-0.526929	-0.1588
-0.278149	0.0583016
0.79592	0.66247
-0.881111	-0.213098
0.320759	-0.837843
-0.392022	1.55079
2.54927	0.862301
1.05993	-1.87537
-0.591528	0.304832
0.0608989	-0.909293
-1.67299	0.452133
-0.761357	0.380599
-0.2819	0.731505
0.490159	5.74653
-0.140832	-0.902528
-0.569499	-0.76685
0.0863879	0.629034
0.997173	0.033666
0.696442	-0.538179
0.384048	-0.372317
-0.662152	-1.16452
0.96771	0.36968
-0.770479	-0.420144
0.222282	-0.217069
0.337325	-0.763435
0.816372	-0.0921217
0.31596	0.0215415
-0.0212201	4.75968
-0.279387	-0.61049
0.745113	-0.0881348
0.0703255	0.360488
0.885539	0.146847
-1.84382	3.4143
0.671778	0.085868
-0.271694	0.475065
-0.531607	0.639381
0.0730917	1.50098
0.938146	0.630523
0.808667	0.0107001
-0.560543	0.578148
0.248425	-0.573203
-0.418174	-0.408602
0.812726	-0.245695
0.448692	0.329861
1.10343	-0.269219
0.869211	-0.156671
-0.356857	-0.576827
-1.73128	-1.02133
1.74532	-2.18684
0.329072	0.217613
1.70158	2.4844
2.69351	1.30445
0.912976	-2.88804
-0.464585	1.44978
0.885427	-0.386822
-0.359732	0.49883
0.166639	0.468041
0.4881	0.725111
1.00956	0.209489
0.159968	0.521651
-0.064146	-0.140024
-0.633727	0.00103292
4.25806	9.48881
2.16732	-0.0623559
-0.865138	1.13375
-0.515028	-0.309715
1.07242	1.0513
-1.14948	1.10564
0.474793	0.539475
-1.54582	1.95719
1.90596	0.266317
0.616076	0.573433
-0.193007	2.26022
0.211079	-0.367359
0.836789	0.145036
1.54027	0.643219
1.64547	-1.12387
-1.55377	-1.85932
0.658748	-0.242144
1.44852	5.68656
1.56972	-1.2984
-0.169588	-0.214718
1.27478	0.275761
1.33119	-0.656707
-0.601671	-0.335314
-0.0558914	-0.43053
1.97205	-0.749888
-0.27809	1.74265
2.47989	-3.1454
-0.398579	-0.994845
-0.0934298	-5.64863
-0.498322	0.0943164
0.134186	0.875922
0.0298319	0.895059
0.642198	0.752658
-0.133653	0.0314573
0.832425	0.383418
3.4199	8.68762
-0.161023	-0.648487
-2.53068	-3.37239
3.82595	-0.0807122
-0.386171	-0.642796
-0.8059	0.563565
-0.168069	-0.43488
-6.42959	9.85262
-0.676727	-0.176082
0.351446	0.0755314
-1.85536	0.069586
0.0709508	-0.522574
0.816059	-0.252521
1.08017	-0.08343
-0.0604649	0.505987
0.61355	0.0929391
0.264789	-0.119265
0.512999	0.0393261
-0.000436017	-0.433112
0.0385315	-0.252491
0.666342	1.57458
0.105028	0.133162
-3.95488	-0.580083
-0.242488	-0.229244
0.575972	-0.0604124
0.0974503	-1.77672
-0.863336	0.0807734
0.290913	0.876766
1.0935	2.28607
-0.00236763	-0.676559
-0.849607	0.44196
-0.346976	0.188087
-0.440011	0.545185
0.427107	-0.842543
-0.0715242	-0.457791
0.200579	-0.332209
0.678384	0.523187
0.301384	-0.129403
0.262302	0.960876
2.87784	2.79422
-0.614765	0.470093
0.509631	-0.986038
10.2813	5.29702
-0.378547	-1.09946
0.576197	0.565497
-0.360951	-1.37558
0.791872	0.0236948
-0.475933	0.134123
-0.0673581	-0.737089
0.708006	0.32135
-1.42424	2.04606
-0.240676	-0.283556
0.538359	0.0263452
-0.361953	-0.199179
-0.43033	0.103028
0.259979	-0.649081
0.757285	-0.310122
1.315	2.39808
0.5884	1.23072
1.32063	-0.116026
0.0492555	-0.502305
0.139589	0.319724
-1.1371	1.19646
1.69616	-2.11026
0.376807	0.331532
-0.132591	-0.348637
-0.167087	-0.295566
0.402999	0.67505
-0.0520712	0.506509
0.283839	-0.178073
-0.288965	1.20721
1.18555	2.43164
-0.327253	-0.106688
0.102346	-2.17025
0.444178	-0.0287432
-1.02563	2.30387
0.564722	-0.632306
-0.601539	-0.0925951
1.09479	1.77457
0.48181	-0.428364
-0.293935	0.555196
-0.176393	-0.370868
3.95243	0.61422
0.855598	-0.387153
0.66262	0.134054
0.188312	-0.692969
0.171036	-0.041001
0.0212475	3.01509
1.26162	-0.374284
-0.852629	-0.505857
2.00137	-0.207591
-1.27104	0.229225
0.361759	-0.0756456
0.502353	0.408913
-1.21903	3.81666
-0.379079	0.729154
1.46425	-0.12921
2.72119	0.740174
0.651992	0.135161
1.12708	-0.0698965
0.0769706	0.942946
1.20818	1.13498
1.26019	0.407766
-0.523063	-0.28627
-0.538694	-0.77262
-0.719404	-1.57837
2.34825	-1.33687
0.0572642	-0.62465
-0.0684432	0.0547913
-0.339172	0.471845
0.973612	-0.0930686
-0.846312	-0.0281665
-2.05062	0.20535
0.251641	-0.492419
-0.420169	-0.26591
0.959129	-0.550917
-1.00255	-0.692527
0.632583	-1.31728
-1.63633	1.31561
-0.188732	4.01026
1.3592	-0.622896
0.617368	0.493935
0.18009	-0.326338
0.362842	0.094299
0.0115717	0.58158
-0.13137	-0.321451
-0.149271	-0.485938
-0.135723	0.894543
0.491802	-0.00952598
0.524009	0.398549
1.54705	-1.54179
0.0473058	-0.0949385
-0.428542	-0.33083
0.357598	-0.466305
1.16486	1.01385
0.511411	-0.36847
0.608797	-0.782
0.506654	-0.154971
0.328134	0.0865561
-0.165351	-0.327663
-0.72858	0.424364
-0.734385	-0.532014
0.502758	2.41183
0.461524	0.0478714
-2.49755	0.304407
0.970468	-0.0982169
-1.06184	1.47839
-0.525097	0.707062
-1.67998	-0.419285
0.258962	0.960961
-0.22256	-0.21089
-0.382453	-0.59225
-0.227448	1.71089
-0.391286	0.614425
0.493085	0.68638
-0.408699	-0.2162
-0.164087	-0.0739643
-0.37031	-0.231581
-0.290551	-0.148392
-0.511872	-0.68595
-0.135853	-0.25852
-3.18117	-2.44805
0.124652	-6.86008
-0.894738	-1.73972
-0.946697	0.262483
0.740078	-0.509442
-0.327198	-0.234936
0.562498	2.36094
